Title,AlternativeTitle,Genre,MovieDuration,ReleaseYear,MoviemeterRank,MoviemeterRating,IMDbRank,IMDbRating
The Shawshank Redemption,,Drama,142 minutes,1994,1,4.42,1,9.3
The Godfather,Mario Puzo's The Godfather,Crime,175 minutes,1972,2,4.37,2,9.2
The Godfather: Part II,Mario Puzo's The Godfather: Part II,Crime,202 minutes,1974,3,4.29,4,9.0
The Green Mile,Stephen King's The Green Mile,"Fantasy, Drama",189 minutes,1999,4,4.28,28,8.6
Pulp Fiction,,"Crime, Drama",154 minutes,1994,5,4.26,8,8.9
The Lord of the Rings: The Return of the King,,"Adventure, Fantasy",201 minutes,2003,7,4.24,7,9.0
Schindler's List,,"War, Drama",195 minutes,1993,8,4.24,6,9.0
Se7en,Seven,"Thriller, Crime",127 minutes,1995,10,4.22,20,8.6
The Lord of the Rings: The Fellowship of the Ring,,"Fantasy, Adventure",178 minutes,2001,11,4.21,9,8.8
Gladiator,,"History, Drama",155 minutes,2000,13,4.19,36,8.5
Scarface,,"Crime, Drama",170 minutes,1983,14,4.19,106,8.3
Goodfellas,GoodFellas,"Crime, Drama",146 minutes,1990,15,4.19,17,8.7
American History X,,"Crime, Drama",119 minutes,1998,16,4.18,39,8.5
The Pianist,,"Drama, War",150 minutes,2002,17,4.18,33,8.5
Intouchables,The Intouchables,"Comedy, Drama",112 minutes,2011,18,4.18,48,8.5
The Lord of the Rings: The Two Towers,,"Adventure, Fantasy",179 minutes,2002,19,4.16,13,8.8
Forrest Gump,,"Comedy, Drama",142 minutes,1994,20,4.16,11,8.8
Cidade de Deus,City of God,"Drama, Crime",135 minutes,2002,21,4.15,26,8.6
The Dark Knight,,"Action, Crime",152 minutes,2008,22,4.13,3,9.0
The Silence of the Lambs,,"Thriller, Crime",118 minutes,1991,23,4.13,23,8.6
The Usual Suspects,,"Crime, Mystery",106 minutes,1995,24,4.12,44,8.5
Saving Private Ryan,,"War, Drama",169 minutes,1998,25,4.11,25,8.6
Heat,,"Crime, Thriller",170 minutes,1995,26,4.11,110,8.3
12 Angry Men,Twelve Angry Men,Drama,96 minutes,1957,29,4.1,5,9.0
Fight Club,,"Comedy, Thriller",139 minutes,1999,30,4.09,12,8.8
American Beauty,,"Drama, Comedy",122 minutes,1999,31,4.09,71,8.3
Into the Wild,,"Biography, Drama",148 minutes,2007,32,4.06,228,8.1
Reservoir Dogs,,"Crime, Drama",99 minutes,1992,33,4.04,96,8.3
Léon,The Professional,"Crime, Drama",110 minutes,1994,34,4.04,38,8.5
Requiem for a Dream,,Drama,101 minutes,2000,35,4.03,88,8.3
Jagten,The Hunt,Drama,115 minutes,2012,36,4.03,95,8.3
Apocalypse Now,Apocalypse Now Redux,"War, Drama",153 minutes,1979,38,4.02,55,8.4
Django Unchained,,"Western, Action",165 minutes,2012,39,4.02,57,8.5
Das Leben der Anderen,The Lives of Others,"Drama, Thriller",137 minutes,2006,40,4.02,60,8.4
The Matrix,,"Scifi, Action",136 minutes,1999,41,4.01,16,8.7
Inception,,"Thriller, Scifi",148 minutes,2010,43,4.0,14,8.8
Braveheart,,"War, History",177 minutes,1995,44,4.0,78,8.3
The Lion King,De Leeuwenkoning,"Animation, Family",89 minutes,1994,45,3.98,37,8.5
"Lock, Stock and Two Smoking Barrels","Lock, Stock & Two Smoking Barrels","Crime, Comedy",107 minutes,1998,46,3.98,164,8.1
Seppuku,Harakiri,Drama,135 minutes,1962,47,3.98,46,8.6
The Shining,,"Horror, Mystery",115 minutes,1980,48,3.97,64,8.4
Das Boot,De Andere Kant van de Oorlog,"War, Drama",149 minutes,1981,50,3.97,77,8.4
Inglourious Basterds,,"War, Comedy",153 minutes,2009,53,3.96,70,8.3
The Departed,,"Crime, Thriller",151 minutes,2006,55,3.96,40,8.5
Der Untergang,Downfall,"History, War",155 minutes,2004,60,3.95,125,8.2
Full Metal Jacket,,"War, Drama",116 minutes,1987,61,3.95,107,8.3
Prisoners,,"Crime, Thriller",153 minutes,2013,64,3.94,166,8.1
Joker,,"Crime, Drama",122 minutes,2019,65,3.94,80,8.4
North by Northwest,De Man Die Verdwijnen Moest,"Thriller, Mystery",136 minutes,1959,67,3.94,102,8.3
Terminator 2: Judgment Day,T2 - Terminator 2: Judgment Day,"Action, Scifi",137 minutes,1991,69,3.93,30,8.6
Rear Window,De Stille Getuige,"Thriller, Mystery",112 minutes,1954,70,3.93,52,8.5
Nuovo Cinema Paradiso,Cinema Paradiso,Drama,155 minutes,1988,72,3.93,50,8.5
Trainspotting,,"Drama, Comedy",94 minutes,1996,73,3.92,170,8.1
A Clockwork Orange,,Crime,136 minutes,1971,74,3.92,108,8.3
Alien,,"Horror, Scifi",117 minutes,1979,75,3.92,53,8.5
1917,,"Drama, War",119 minutes,2019,76,3.92,124,8.2
In the Name of the Father,,"Drama, Biography",133 minutes,1993,77,3.92,190,8.1
Green Book,,"Biography, Comedy",130 minutes,2018,78,3.92,134,8.2
It's a Wonderful Life,"Mens, Durf te Leven","Drama, Romance",130 minutes,1946,80,3.92,21,8.6
Double Indemnity,Bloedgeld,"Filmnoir, Crime",107 minutes,1944,81,3.92,104,8.3
The Father,,Drama,97 minutes,2020,82,3.92,133,8.2
Casino,,"Crime, Drama",178 minutes,1995,84,3.91,140,8.2
Platoon,,"War, Drama",120 minutes,1986,85,3.91,217,8.1
The Deer Hunter,,"War, Drama",184 minutes,1978,86,3.91,193,8.1
Psycho,Alfred Hitchcock's Psycho,"Horror, Thriller",109 minutes,1960,87,3.91,34,8.5
Casablanca,,"Romance, Drama",102 minutes,1942,88,3.91,47,8.5
Memento,,"Mystery, Thriller",113 minutes,2000,90,3.9,56,8.4
The Prestige,,"Mystery, Drama",130 minutes,2006,91,3.9,42,8.5
Gran Torino,,"Drama, Crime",116 minutes,2008,92,3.9,173,8.1
Taxi Driver,,"Drama, Crime",114 minutes,1976,93,3.9,123,8.2
Interstellar,,"Scifi, Mystery",169 minutes,2014,94,3.9,24,8.7
Vertigo,De Vrouw Die Tweemaal Leefde,"Thriller, Mystery",129 minutes,1958,97,3.9,103,8.3
Gisaengchung,Parasite,"Drama, Comedy",132 minutes,2019,98,3.9,35,8.5
Sunset Blvd.,Sunset Boulevard,"Drama, Filmnoir",110 minutes,1950,100,3.9,61,8.4
Pirates of the Caribbean: The Curse of the Black Pearl,,"Action, Adventure",143 minutes,2003,101,3.89,229,8.1
Hotel Rwanda,,"Drama, War",121 minutes,2004,102,3.89,213,8.1
Mary and Max,,"Animation, Drama",93 minutes,2009,103,3.89,205,8.1
L.A. Confidential,,"Crime, Thriller",138 minutes,1997,106,3.88,119,8.2
Warrior,,"Drama, Sport",140 minutes,2011,107,3.88,172,8.1
Judgment at Nuremberg,Judgement at Nuremberg,"Drama, War",186 minutes,1961,109,3.88,136,8.3
Shutter Island,,"Mystery, Thriller",138 minutes,2010,114,3.87,141,8.2
The Sixth Sense,,"Thriller, Mystery",107 minutes,1999,115,3.87,143,8.2
Eternal Sunshine of the Spotless Mind,,"Romance, Scifi",108 minutes,2004,117,3.87,93,8.3
The Wolf of Wall Street,,"Biography, Comedy",180 minutes,2013,118,3.87,132,8.2
Harry Potter and the Deathly Hallows: Part 2,Harry Potter en de Relieken van de Dood: Deel 2,"Fantasy, Adventure",130 minutes,2011,119,3.87,178,8.1
"Three Billboards Outside Ebbing, Missouri",,"Crime, Drama",115 minutes,2017,121,3.87,168,8.1
Witness for the Prosecution,,"Crime, Drama",116 minutes,1957,123,3.87,66,8.4
Capharnaüm,Capernaum,Drama,126 minutes,2018,124,3.87,89,8.4
Ikiru,Doomed,Drama,143 minutes,1952,125,3.87,97,8.3
La Haine,Hate,"Drama, Crime",98 minutes,1995,127,3.86,225,8.1
Whiplash,,"Drama, Music",107 minutes,2014,128,3.86,41,8.5
Oppenheimer,,"Biography, Drama",180 minutes,2023,130,3.86,43,8.6
The Big Lebowski,,Comedy,117 minutes,1998,134,3.85,209,8.1
A Beautiful Mind,,"Biography, Drama",135 minutes,2001,135,3.85,146,8.2
Aliens,,"Scifi, Action",137 minutes,1986,140,3.85,68,8.4
Paths of Glory,,"War, Drama",88 minutes,1957,144,3.85,62,8.4
Toy Story 3,,"Animation, Comedy",103 minutes,2010,149,3.84,90,8.3
The Third Man,The 3rd Man,"Filmnoir, Thriller",104 minutes,1949,154,3.84,196,8.1
Fargo,,"Crime, Comedy",98 minutes,1996,160,3.83,171,8.1
Good Will Hunting,,Drama,126 minutes,1997,161,3.83,82,8.3
The Thing,John Carpenter's The Thing,"Horror, Scifi",109 minutes,1982,165,3.83,153,8.2
Raging Bull,,"Biography, Sport",129 minutes,1980,166,3.83,162,8.1
Lawrence of Arabia,Lawrence van Arabië,"Adventure, Biography",210 minutes,1962,167,3.83,98,8.3
La Battaglia di Algeri,The Battle of Algiers,"Drama, War",121 minutes,1966,172,3.83,237,8.1
Die Hard,,"Action, Thriller",131 minutes,1988,174,3.82,118,8.2
Raiders of the Lost Ark,Indiana Jones and the Raiders of the Lost Ark,"Action, Adventure",115 minutes,1981,176,3.82,58,8.4
Star Wars,Star Wars: Episode IV - A New Hope,"Fantasy, Scifi",121 minutes,1977,177,3.82,29,8.6
Star Wars: Episode VI - Return of the Jedi,,"Fantasy, Scifi",134 minutes,1983,178,3.82,92,8.3
The Best Years of Our Lives,De Beste Jaren van Ons Leven,"Drama, War",172 minutes,1946,184,3.82,224,8.1
Back to the Future,Terug naar de Toekomst,"Scifi, Comedy",116 minutes,1985,186,3.81,31,8.5
2001: A Space Odyssey,2001: Een Zwerftocht in de Ruimte,"Scifi, Adventure",161 minutes,1968,188,3.81,94,8.3
Oldeuboi,Oldboy,"Drama, Crime",120 minutes,2003,189,3.81,73,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove,"Comedy, War",95 minutes,1964,190,3.81,72,8.4
Chinatown,,Mystery,131 minutes,1974,192,3.81,157,8.2
The Grapes of Wrath,,Drama,129 minutes,1940,194,3.81,236,8.1
No Country for Old Men,,"Crime, Thriller",122 minutes,2007,197,3.8,149,8.2
Million Dollar Baby,,"Drama, Sport",132 minutes,2004,200,3.8,176,8.1
Ben-Hur,Ben Hur,"Adventure, History",212 minutes,1959,201,3.8,185,8.1
Persona,,Drama,85 minutes,1966,206,3.8,247,8.1
The Truman Show,,"Drama, Comedy",103 minutes,1998,212,3.79,137,8.2
Jurassic Park,Jurassic Park 3D,"Adventure, Scifi",127 minutes,1993,213,3.79,145,8.2
Indiana Jones and the Last Crusade,,"Action, Adventure",127 minutes,1989,218,3.79,116,8.2
The Elephant Man,,"Drama, Biography",124 minutes,1980,221,3.79,156,8.2
Incendies,,"Drama, Mystery",131 minutes,2010,223,3.79,109,8.3
Coco,,"Animation, Adventure",109 minutes,2017,226,3.79,74,8.4
The Sting,,"Crime, Comedy",129 minutes,1973,227,3.79,114,8.3
Tonari no Totoro,My Neighbor Totoro,"Animation, Fantasy",86 minutes,1988,228,3.79,175,8.1
The Apartment,,"Romance, Comedy",125 minutes,1960,229,3.79,101,8.3
To Be or Not to Be,,"Comedy, War",99 minutes,1942,231,3.79,231,8.2
Batman Begins,,"Action, Crime",140 minutes,2005,232,3.78,129,8.2
Room,,Drama,118 minutes,2015,235,3.78,207,8.1
The Help,,Drama,146 minutes,2011,236,3.78,245,8.1
The Great Dictator,De Dictator,"Comedy, War",125 minutes,1940,237,3.78,65,8.4
Dial M for Murder,U Spreekt met Uw Moordenaar,"Thriller, Crime",105 minutes,1954,238,3.78,159,8.2
