Title,AlternativeTitle,Genre,MovieDuration,ReleaseYear,MoviemeterRank,MoviemeterRating
The Shawshank Redemption,,Drama,142 minutes,1994,1,"4,42"
The Godfather,Mario Puzo's The Godfather,Crime,175 minutes,1972,2,"4,37"
The Godfather: Part II,Mario Puzo's The Godfather: Part II,Crime,202 minutes,1974,3,"4,29"
The Green Mile,Stephen King's The Green Mile,"Fantasy, Drama",189 minutes,1999,4,"4,28"
Pulp Fiction,,"Crime, Drama",154 minutes,1994,5,"4,26"
C'era una Volta il West,Once upon a Time in the West,Western,165 minutes,1968,6,"4,25"
The Lord of the Rings: The Return of the King,,"Adventure, Fantasy",201 minutes,2003,7,"4,24"
Schindler's List,,"War, Drama",195 minutes,1993,8,"4,24"
"Il Buono, il Brutto, il Cattivo","The Good, the Bad and the Ugly",Western,161 minutes,1966,9,"4,24"
Se7en,Seven,"Thriller, Crime",127 minutes,1995,10,"4,22"
The Lord of the Rings: The Fellowship of the Ring,,"Fantasy, Adventure",178 minutes,2001,11,"4,21"
One Flew over the Cuckoo's Nest,,Drama,133 minutes,1975,12,"4,20"
Gladiator,,"History, Drama",155 minutes,2000,13,"4,19"
Scarface,,"Crime, Drama",170 minutes,1983,14,"4,19"
Goodfellas,GoodFellas,"Crime, Drama",146 minutes,1990,15,"4,19"
American History X,,"Crime, Drama",119 minutes,1998,16,"4,18"
The Pianist,,"Drama, War",150 minutes,2002,17,"4,18"
Intouchables,The Intouchables,"Comedy, Drama",112 minutes,2011,18,"4,18"
The Lord of the Rings: The Two Towers,,"Adventure, Fantasy",179 minutes,2002,19,"4,16"
Forrest Gump,,"Comedy, Drama",142 minutes,1994,20,"4,16"
Cidade de Deus,City of God,"Drama, Crime",135 minutes,2002,21,"4,15"
The Dark Knight,,"Action, Crime",152 minutes,2008,22,"4,13"
The Silence of the Lambs,,"Thriller, Crime",118 minutes,1991,23,"4,13"
The Usual Suspects,,"Crime, Mystery",106 minutes,1995,24,"4,12"
Saving Private Ryan,,"War, Drama",169 minutes,1998,25,"4,11"
Heat,,"Crime, Thriller",170 minutes,1995,26,"4,11"
Once upon a Time in America,C'era una Volta in America,"Crime, Drama",229 minutes,1984,27,"4,11"
La Meglio Gioventù,The Best of Youth,Drama,366 minutes,2003,28,"4,11"
12 Angry Men,Twelve Angry Men,Drama,96 minutes,1957,29,"4,10"
Fight Club,,"Comedy, Thriller",139 minutes,1999,30,"4,09"
American Beauty,,"Drama, Comedy",122 minutes,1999,31,"4,09"
Into the Wild,,"Biography, Drama",148 minutes,2007,32,"4,06"
Reservoir Dogs,,"Crime, Drama",99 minutes,1992,33,"4,04"
Léon,The Professional,"Crime, Drama",110 minutes,1994,34,"4,04"
Requiem for a Dream,,Drama,101 minutes,2000,35,"4,03"
Jagten,The Hunt,Drama,115 minutes,2012,36,"4,03"
Snatch,,"Crime, Comedy",104 minutes,2000,37,"4,02"
Apocalypse Now,Apocalypse Now Redux,"War, Drama",153 minutes,1979,38,"4,02"
Django Unchained,,"Western, Action",165 minutes,2012,39,"4,02"
Das Leben der Anderen,The Lives of Others,"Drama, Thriller",137 minutes,2006,40,"4,02"
The Matrix,,"Scifi, Action",136 minutes,1999,41,"4,01"
Le Fabuleux Destin d'Amélie Poulain,Amélie,"Comedy, Romance",122 minutes,2001,42,"4,01"
Inception,,"Thriller, Scifi",148 minutes,2010,43,"4,00"
Braveheart,,"War, History",177 minutes,1995,44,"4,00"
The Lion King,De Leeuwenkoning,"Animation, Family",89 minutes,1994,45,"3,98"
"Lock, Stock and Two Smoking Barrels","Lock, Stock & Two Smoking Barrels","Crime, Comedy",107 minutes,1998,46,"3,98"
Seppuku,Harakiri,Drama,135 minutes,1962,47,"3,98"
The Shining,,"Horror, Mystery",115 minutes,1980,48,"3,97"
La Vita È Bella,Life Is Beautiful,"Comedy, War",122 minutes,1997,49,"3,97"
Das Boot,De Andere Kant van de Oorlog,"War, Drama",149 minutes,1981,50,"3,97"
Shichinin no Samurai,Seven Samurai,"Action, Drama",207 minutes,1954,51,"3,97"
Le Trou,The Hole,"Thriller, Drama",132 minutes,1960,52,"3,97"
Inglourious Basterds,,"War, Comedy",153 minutes,2009,53,"3,96"
Blood Diamond,,"Drama, Thriller",143 minutes,2006,54,"3,96"
The Departed,,"Crime, Thriller",151 minutes,2006,55,"3,96"
Donnie Darko,,"Mystery, Drama",113 minutes,2001,56,"3,96"
Star Wars: Episode V - The Empire Strikes Back,,"Fantasy, Scifi",124 minutes,1980,57,"3,96"
Tengoku to Jigoku,High and Low,"Thriller, Crime",143 minutes,1963,58,"3,96"
Avatar,,"Fantasy, Adventure",162 minutes,2009,59,"3,95"
Der Untergang,Downfall,"History, War",155 minutes,2004,60,"3,95"
Full Metal Jacket,,"War, Drama",116 minutes,1987,61,"3,95"
Sen to Chihiro no Kamikakushi,Spirited Away,"Animation, Fantasy",125 minutes,2001,62,"3,95"
Slumdog Millionaire,,"Drama, Crime",120 minutes,2008,63,"3,94"
Prisoners,,"Crime, Thriller",153 minutes,2013,64,"3,94"
Joker,,"Crime, Drama",122 minutes,2019,65,"3,94"
Amores Perros,Love's a Bitch,"Crime, Drama",154 minutes,2000,66,"3,94"
North by Northwest,De Man Die Verdwijnen Moest,"Thriller, Mystery",136 minutes,1959,67,"3,94"
Donnie Brasco,,"Crime, Drama",127 minutes,1997,68,"3,93"
Terminator 2: Judgment Day,T2 - Terminator 2: Judgment Day,"Action, Scifi",137 minutes,1991,69,"3,93"
Rear Window,De Stille Getuige,"Thriller, Mystery",112 minutes,1954,70,"3,93"
Idi i Smotri,Come and See,"Drama, War",145 minutes,1985,71,"3,93"
Nuovo Cinema Paradiso,Cinema Paradiso,Drama,155 minutes,1988,72,"3,93"
Trainspotting,,"Drama, Comedy",94 minutes,1996,73,"3,92"
A Clockwork Orange,,Crime,136 minutes,1971,74,"3,92"
Alien,,"Horror, Scifi",117 minutes,1979,75,"3,92"
1917,,"Drama, War",119 minutes,2019,76,"3,92"
In the Name of the Father,,"Drama, Biography",133 minutes,1993,77,"3,92"
Green Book,,"Biography, Comedy",130 minutes,2018,78,"3,92"
Bom Yeoreum Gaeul Gyeoul Geurigo Bom,"Spring, Summer, Fall, Winter... and Spring",Drama,103 minutes,2003,79,"3,92"
It's a Wonderful Life,"Mens, Durf te Leven","Drama, Romance",130 minutes,1946,80,"3,92"
Double Indemnity,Bloedgeld,"Filmnoir, Crime",107 minutes,1944,81,"3,92"
The Father,,Drama,97 minutes,2020,82,"3,92"
El Laberinto del Fauno,Pan's Labyrinth,"Fantasy, Drama",118 minutes,2006,83,"3,91"
Casino,,"Crime, Drama",178 minutes,1995,84,"3,91"
Platoon,,"War, Drama",120 minutes,1986,85,"3,91"
The Deer Hunter,,"War, Drama",184 minutes,1978,86,"3,91"
Psycho,Alfred Hitchcock's Psycho,"Horror, Thriller",109 minutes,1960,87,"3,91"
Casablanca,,"Romance, Drama",102 minutes,1942,88,"3,91"
Hotaru no Haka,Grave of the Fireflies,"Animation, War",89 minutes,1988,89,"3,91"
Memento,,"Mystery, Thriller",113 minutes,2000,90,"3,90"
The Prestige,,"Mystery, Drama",130 minutes,2006,91,"3,90"
Gran Torino,,"Drama, Crime",116 minutes,2008,92,"3,90"
Taxi Driver,,"Drama, Crime",114 minutes,1976,93,"3,90"
Interstellar,,"Scifi, Mystery",169 minutes,2014,94,"3,90"
Walk the Line,,"Music, Biography",136 minutes,2005,95,"3,90"
Carlito's Way,,"Crime, Drama",145 minutes,1993,96,"3,90"
Vertigo,De Vrouw Die Tweemaal Leefde,"Thriller, Mystery",129 minutes,1958,97,"3,90"
Gisaengchung,Parasite,"Drama, Comedy",132 minutes,2019,98,"3,90"
Per Qualche Dollaro in Più,For a Few Dollars More,Western,132 minutes,1965,99,"3,90"
Sunset Blvd.,Sunset Boulevard,"Drama, Filmnoir",110 minutes,1950,100,"3,90"
Pirates of the Caribbean: The Curse of the Black Pearl,,"Action, Adventure",143 minutes,2003,101,"3,89"
Hotel Rwanda,,"Drama, War",121 minutes,2004,102,"3,89"
Mary and Max,,"Animation, Drama",93 minutes,2009,103,"3,89"
Du Rififi chez les Hommes,Rififi,"Crime, Filmnoir",120 minutes,1955,104,"3,89"
The Butterfly Effect,,"Scifi, Thriller",113 minutes,2004,105,"3,88"
L.A. Confidential,,"Crime, Thriller",138 minutes,1997,106,"3,88"
Warrior,,"Drama, Sport",140 minutes,2011,107,"3,88"
Vozvrashchenie,The Return,"Drama, Mystery",105 minutes,2003,108,"3,88"
Judgment at Nuremberg,Judgement at Nuremberg,"Drama, War",186 minutes,1961,109,"3,88"
Der Kommer en Dag,The Day Will Come,Drama,119 minutes,2016,110,"3,88"
Stop Making Sense,,Music,88 minutes,1984,111,"3,88"
Suna no Onna,Woman in the Dunes,"Drama, Thriller",123 minutes,1964,112,"3,88"
Saw,,"Thriller, Horror",103 minutes,2004,113,"3,87"
Shutter Island,,"Mystery, Thriller",138 minutes,2010,114,"3,87"
The Sixth Sense,,"Thriller, Mystery",107 minutes,1999,115,"3,87"
Man on Fire,,"Action, Thriller",146 minutes,2004,116,"3,87"
Eternal Sunshine of the Spotless Mind,,"Romance, Scifi",108 minutes,2004,117,"3,87"
The Wolf of Wall Street,,"Biography, Comedy",180 minutes,2013,118,"3,87"
Harry Potter and the Deathly Hallows: Part 2,Harry Potter en de Relieken van de Dood: Deel 2,"Fantasy, Adventure",130 minutes,2011,119,"3,87"
Festen,The Celebration,Drama,105 minutes,1998,120,"3,87"
"Three Billboards Outside Ebbing, Missouri",,"Crime, Drama",115 minutes,2017,121,"3,87"
Una Giornata Particolare,A Special Day,Drama,106 minutes,1977,122,"3,87"
Witness for the Prosecution,,"Crime, Drama",116 minutes,1957,123,"3,87"
Capharnaüm,Capernaum,Drama,126 minutes,2018,124,"3,87"
Ikiru,Doomed,Drama,143 minutes,1952,125,"3,87"
A Woman under the Influence,Invloeden op een Vrouw,Drama,155 minutes,1974,126,"3,87"
La Haine,Hate,"Drama, Crime",98 minutes,1995,127,"3,86"
Whiplash,,"Drama, Music",107 minutes,2014,128,"3,86"
Lion,A Long Way Home,"Biography, Drama",118 minutes,2016,129,"3,86"
Oppenheimer,,"Biography, Drama",180 minutes,2023,130,"3,86"
Da Hong Deng Long Gao Gao Gua,Raise the Red Lantern,Drama,125 minutes,1991,131,"3,86"
Le Samouraï,The Godson,"Crime, Thriller",105 minutes,1967,132,"3,86"
Le Salaire de la Peur,The Wages of Fear,"Thriller, Adventure",153 minutes,1953,133,"3,86"
The Big Lebowski,,Comedy,117 minutes,1998,134,"3,85"
A Beautiful Mind,,"Biography, Drama",135 minutes,2001,135,"3,85"
The Bourne Ultimatum,,"Thriller, Action",115 minutes,2007,136,"3,85"
The Notebook,,"Drama, Romance",123 minutes,2004,137,"3,85"
Magnolia,,Drama,188 minutes,1999,138,"3,85"
Changeling,,"Drama, Mystery",140 minutes,2008,139,"3,85"
Aliens,,"Scifi, Action",137 minutes,1986,140,"3,85"
Bin-jip,3-Iron,"Drama, Romance",88 minutes,2004,141,"3,85"
Mononoke-Hime,Princess Mononoke,"Animation, Fantasy",134 minutes,1997,142,"3,85"
La Vie d'Adèle,Blue Is the Warmest Color,"Drama, Romance",180 minutes,2013,143,"3,85"
Paths of Glory,,"War, Drama",88 minutes,1957,144,"3,85"
"Paris, Texas",,"Roadmovie, Drama",147 minutes,1984,145,"3,85"
Yedinci Kogustaki Mucize,Miracle in Cell No. 7,Drama,132 minutes,2019,146,"3,85"
Höstsonaten,Herfstsonate,Drama,99 minutes,1978,147,"3,85"
The Godfather: Part III,"The Godfather, Coda: The Death of Michael Corleone","Crime, Drama",162 minutes,1990,148,"3,84"
Toy Story 3,,"Animation, Comedy",103 minutes,2010,149,"3,84"
Män Som Hatar Kvinnor,Millennium: Mannen Die Vrouwen Haten,"Thriller, Mystery",152 minutes,2009,150,"3,84"
Papillon,,"Adventure, Drama",151 minutes,1973,151,"3,84"
Stalker,Сталкер,"Mystery, Scifi",163 minutes,1979,152,"3,84"
Efter Brylluppet,After the Wedding,Drama,120 minutes,2006,153,"3,84"
The Third Man,The 3rd Man,"Filmnoir, Thriller",104 minutes,1949,154,"3,84"
M - Eine Stadt Sucht einen Mörder,M,"Crime, Thriller",117 minutes,1931,155,"3,84"
Temple Grandin,,"Biography, Drama",107 minutes,2010,156,"3,84"
Un Condamné à Mort S'est Échappé ou Le Vent Souffle Où Il Veut,A Man Escaped,"Drama, Thriller",101 minutes,1956,157,"3,84"
The Stoning of Soraya M.,,Drama,114 minutes,2008,158,"3,84"
Lucky Number Slevin,Lucky Number S7evin,"Crime, Thriller",110 minutes,2006,159,"3,83"
Fargo,,"Crime, Comedy",98 minutes,1996,160,"3,83"
Good Will Hunting,,Drama,126 minutes,1997,161,"3,83"
Dances with Wolves,,Western,181 minutes,1990,162,"3,83"
True Romance,,"Action, Crime",119 minutes,1993,163,"3,83"
Captain Phillips,,"Biography, Thriller",134 minutes,2013,164,"3,83"
The Thing,John Carpenter's The Thing,"Horror, Scifi",109 minutes,1982,165,"3,83"
Raging Bull,,"Biography, Sport",129 minutes,1980,166,"3,83"
Lawrence of Arabia,Lawrence van Arabië,"Adventure, Biography",210 minutes,1962,167,"3,83"
Lilja 4-ever,Lilya 4-ever,Drama,109 minutes,2002,168,"3,83"
Mississippi Burning,,"Crime, Drama",128 minutes,1988,169,"3,83"
Mar Adentro,The Sea Inside,Drama,125 minutes,2004,170,"3,83"
Manon des Sources,Jean de Florette II,Drama,113 minutes,1986,171,"3,83"
La Battaglia di Algeri,The Battle of Algiers,"Drama, War",121 minutes,1966,172,"3,83"
Tasogare Seibei,The Twilight Samurai,"Drama, History",129 minutes,2002,173,"3,83"
Die Hard,,"Action, Thriller",131 minutes,1988,174,"3,82"
American Gangster,,"Crime, Drama",157 minutes,2007,175,"3,82"
Raiders of the Lost Ark,Indiana Jones and the Raiders of the Lost Ark,"Action, Adventure",115 minutes,1981,176,"3,82"
Star Wars,Star Wars: Episode IV - A New Hope,"Fantasy, Scifi",121 minutes,1977,177,"3,82"
Star Wars: Episode VI - Return of the Jedi,,"Fantasy, Scifi",134 minutes,1983,178,"3,82"
The Revenant,,"Adventure, Drama",156 minutes,2015,179,"3,82"
Så som i Himmelen,As It Is in Heaven,"Drama, Music",132 minutes,2004,180,"3,82"
Le Scaphandre et le Papillon,The Diving Bell and the Butterfly,"Drama, Biography",112 minutes,2007,181,"3,82"
Novecento,1900,"Drama, History",317 minutes,1976,182,"3,82"
Ace in the Hole,The Big Carnival,"Drama, Filmnoir",111 minutes,1951,183,"3,82"
The Best Years of Our Lives,De Beste Jaren van Ons Leven,"Drama, War",172 minutes,1946,184,"3,82"
Mildred Pierce,,"Drama, Filmnoir",111 minutes,1945,185,"3,82"
Back to the Future,Terug naar de Toekomst,"Scifi, Comedy",116 minutes,1985,186,"3,81"
Big Fish,,"Drama, Fantasy",125 minutes,2003,187,"3,81"
2001: A Space Odyssey,2001: Een Zwerftocht in de Ruimte,"Scifi, Adventure",161 minutes,1968,188,"3,81"
Oldeuboi,Oldboy,"Drama, Crime",120 minutes,2003,189,"3,81"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove,"Comedy, War",95 minutes,1964,190,"3,81"
Dog Day Afternoon,,"Crime, Drama",124 minutes,1975,191,"3,81"
Chinatown,,Mystery,131 minutes,1974,192,"3,81"
Jean de Florette,,Drama,120 minutes,1986,193,"3,81"
The Grapes of Wrath,,Drama,129 minutes,1940,194,"3,81"
Close,,Drama,104 minutes,2022,195,"3,81"
Die Brücke,The Bridge,"Drama, War",103 minutes,1959,196,"3,81"
No Country for Old Men,,"Crime, Thriller",122 minutes,2007,197,"3,80"
The Boondock Saints,,"Action, Crime",108 minutes,1999,198,"3,80"
Black Swan,,Thriller,108 minutes,2010,199,"3,80"
Million Dollar Baby,,"Drama, Sport",132 minutes,2004,200,"3,80"
Ben-Hur,Ben Hur,"Adventure, History",212 minutes,1959,201,"3,80"
The Straight Story,,"Drama, Roadmovie",112 minutes,1999,202,"3,80"
L'Instinct de Mort,Public Enemy Number One (Part 1),"Crime, Drama",113 minutes,2008,203,"3,80"
Strangers on a Train,De Maniak,"Thriller, Filmnoir",101 minutes,1951,204,"3,80"
Ladri di Biciclette,The Bicycle Thief,Drama,93 minutes,1948,205,"3,80"
Persona,,Drama,85 minutes,1966,206,"3,80"
Les Diaboliques,Diabolique,"Mystery, Thriller",114 minutes,1955,207,"3,80"
Sunrise: A Song of Two Humans,Sunrise,"Romance, Drama",94 minutes,1927,208,"3,80"
"Quo Vadis, Aida?","Where Are You Going, Aida?","Drama, History",101 minutes,2020,209,"3,80"
Sorcerer,Wages of Fear,"Adventure, Thriller",121 minutes,1977,210,"3,80"
Titanic,,"Drama, Romance",194 minutes,1997,211,"3,79"
The Truman Show,,"Drama, Comedy",103 minutes,1998,212,"3,79"
Jurassic Park,Jurassic Park 3D,"Adventure, Scifi",127 minutes,1993,213,"3,79"
Twelve Monkeys,12 Monkeys,"Mystery, Scifi",129 minutes,1995,214,"3,79"
The Game,,Thriller,128 minutes,1997,215,"3,79"
Crash,,"Drama, Crime",112 minutes,2004,216,"3,79"
Mulholland Dr.,Mulholland Drive,"Mystery, Thriller",146 minutes,2001,217,"3,79"
Indiana Jones and the Last Crusade,,"Action, Adventure",127 minutes,1989,218,"3,79"
The Longest Day,,War,180 minutes,1962,219,"3,79"
Cinderella Man,Cinderella Man - A Fighter's Tale,"Biography, Sport",144 minutes,2005,220,"3,79"
The Elephant Man,,"Drama, Biography",124 minutes,1980,221,"3,79"
The World's Fastest Indian,,"Biography, Roadmovie",127 minutes,2005,222,"3,79"
Incendies,,"Drama, Mystery",131 minutes,2010,223,"3,79"
Yip Man,Ip Man,"Action, Biography",106 minutes,2008,224,"3,79"
Contratiempo,The Invisible Guest,"Thriller, Crime",106 minutes,2016,225,"3,79"
Coco,,"Animation, Adventure",109 minutes,2017,226,"3,79"
The Sting,,"Crime, Comedy",129 minutes,1973,227,"3,79"
Tonari no Totoro,My Neighbor Totoro,"Animation, Fantasy",86 minutes,1988,228,"3,79"
The Apartment,,"Romance, Comedy",125 minutes,1960,229,"3,79"
Kokuhaku,Confessions,"Drama, Thriller",106 minutes,2010,230,"3,79"
To Be or Not to Be,,"Comedy, War",99 minutes,1942,231,"3,79"
Batman Begins,,"Action, Crime",140 minutes,2005,232,"3,78"
Escape from Alcatraz,,"Drama, Thriller",112 minutes,1979,233,"3,78"
What's Eating Gilbert Grape,What's Eating Gilbert Grape?,Drama,118 minutes,1993,234,"3,78"
Room,,Drama,118 minutes,2015,235,"3,78"
The Help,,Drama,146 minutes,2011,236,"3,78"
The Great Dictator,De Dictator,"Comedy, War",125 minutes,1940,237,"3,78"
Dial M for Murder,U Spreekt met Uw Moordenaar,"Thriller, Crime",105 minutes,1954,238,"3,78"
Mou Gaan Dou,Infernal Affairs,"Crime, Drama",101 minutes,2002,239,"3,78"
Relatos Salvajes,Wild Tales,"Comedy, Thriller",122 minutes,2014,240,"3,78"
Taegukgi Hwinalrimyeo,Brotherhood,"Drama, War",140 minutes,2004,241,"3,78"
Solyaris,Solaris,"Drama, Scifi",167 minutes,1972,242,"3,78"
White Heat,,"Filmnoir, Crime",114 minutes,1949,243,"3,78"
Le Cercle Rouge,De Rode Cirkel,"Crime, Thriller",140 minutes,1970,244,"3,78"
Kimi no Na Wa.,Your Name,"Animation, Romance",106 minutes,2016,245,"3,78"
Andrey Rublev,Andrei Rublev,"Biography, Drama",206 minutes,1966,246,"3,78"
In a Lonely Place,Vreemde Ontmoeting,"Drama, Filmnoir",94 minutes,1950,247,"3,78"
Umberto D.,,Drama,89 minutes,1952,248,"3,78"
Werckmeister Harmóniák,Werckmeister Harmonies,"Drama, Mystery",145 minutes,2000,249,"3,78"
Sin City,Frank Miller's Sin City,"Action, Crime",124 minutes,2005,250,"3,77"
